,bill_number,display_name,first_name,id,last_name,party,state
1,0,Abraham (R-MI),Spencer,S238,Abraham,R,MI
2,0,Akaka (D-HI),Daniel,S213,Akaka,D,HI
3,0,Ashcroft (R-MO),John,S239,Ashcroft,R,MO
4,0,Baucus (D-MT),Max,S127,Baucus,D,MT
5,0,Bennett (R-UT),Robert,S231,Bennett,R,UT
6,0,Biden (D-DE),Joseph,S010,Biden,D,DE
7,0,Bond (R-MO),Christopher,S200,Bond,R,MO
8,0,Bradley (D-NJ),Bill,S132,Bradley,D,NJ
9,0,Breaux (D-LA),John,S179,Breaux,D,LA
10,0,Brown (R-CO),Hank,S214,Brown,R,CO
11,0,Burns (R-MT),Conrad,S211,Burns,R,MT
12,0,Byrd (D-WV),Robert,S017,Byrd,D,WV
13,0,Chafee (R-RI),John,S116,Chafee,R,RI
14,0,Coats (R-IN),Dan,S212,Coats,R,IN
15,0,Cochran (R-MS),Thad,S136,Cochran,R,MS
16,0,Cohen (R-ME),William,S137,Cohen,R,ME
17,0,Conrad (D-ND),Kent,S201,Conrad,D,ND
18,0,Coverdell (R-GA),Paul,S228,Coverdell,R,GA
19,0,Craig (R-ID),Larry,S215,Craig,R,ID
20,0,D'Amato (R-NY),Alfonse,S147,D'Amato,R,NY
21,0,Daschle (D-SD),Thomas,S185,Daschle,D,SD
22,0,DeWine (R-OH),Mike,S240,DeWine,R,OH
23,0,Dodd (D-CT),Christopher,S150,Dodd,D,CT
24,0,Dole (R-KS),Bob,S026,Dole,R,KS
25,0,Domenici (R-NM),Pete,S027,Domenici,R,NM
26,0,Dorgan (D-ND),Byron,S222,Dorgan,D,ND
27,0,Exon (D-NE),J.,S129,Exon,D,NE
28,0,Faircloth (R-NC),Lauch,S227,Faircloth,R,NC
29,0,Feinstein (D-CA),Dianne,S221,Feinstein,D,CA
30,0,Ford (D-KY),Wendell,S033,Ford,D,KY
31,0,Frist (R-TN),Bill,S241,Frist,R,TN
32,0,Glenn (D-OH),John,S035,Glenn,D,OH
33,0,Gorton (R-WA),Slade,S152,Gorton,R,WA
34,0,Gramm (R-TX),Phil,S171,Gramm,R,TX
35,0,Grams (R-MN),Rod,S242,Grams,R,MN
36,0,Grassley (R-IA),Chuck,S153,Grassley,R,IA
37,0,Gregg (R-NH),Judd,S224,Gregg,R,NH
38,0,Hatch (R-UT),Orrin,S118,Hatch,R,UT
39,0,Hatfield (R-OR),Mark,S044,Hatfield,R,OR
40,0,Heflin (D-AL),Howell,S130,Heflin,D,AL
41,0,Helms (R-NC),Jesse,S046,Helms,R,NC
42,0,Hutchison (R-TX),Kay,S235,Hutchison,R,TX
43,0,Inhofe (R-OK),James,S236,Inhofe,R,OK
44,0,Inouye (D-HI),Daniel,S051,Inouye,D,HI
45,0,Jeffords (R-VT),James,S204,Jeffords,R,VT
46,0,Johnston (D-LA),J.,S054,Johnston,D,LA
47,0,Kassebaum (R-KS),Nancy,S140,Kassebaum,R,KS
48,0,Kempthorne (R-ID),Dirk,S232,Kempthorne,R,ID
49,0,Kohl (D-WI),Herb,S209,Kohl,D,WI
50,0,Kyl (R-AZ),Jon,S243,Kyl,R,AZ
51,0,Levin (D-MI),Carl,S131,Levin,D,MI
52,0,Lott (R-MS),Trent,S203,Lott,R,MS
53,0,Lugar (R-IN),Richard,S105,Lugar,R,IN
54,0,Mack (R-FL),Connie,S205,Mack,R,FL
55,0,McCain (R-AZ),John,S197,McCain,R,AZ
56,0,McConnell (R-KY),Mitch,S174,McConnell,R,KY
57,0,Mikulski (D-MD),Barbara,S182,Mikulski,D,MD
58,0,Moynihan (D-NY),Daniel,S113,Moynihan,D,NY
59,0,Murkowski (R-AK),Frank,S157,Murkowski,R,AK
60,0,Murray (D-WA),Patty,S229,Murray,D,WA
61,0,Nickles (R-OK),Don,S158,Nickles,R,OK
62,0,Packwood (R-OR),Bob,S075,Packwood,R,OR
63,0,Pressler (R-SD),Larry,S141,Pressler,R,SD
64,0,Reid (D-NV),Harry,S198,Reid,D,NV
65,0,Roth (R-DE),William,S083,Roth,R,DE
66,0,Santorum (R-PA),Rick,S244,Santorum,R,PA
67,0,Shelby (R-AL),Richard,S184,Shelby,R,AL
68,0,Simpson (R-WY),Alan,S142,Simpson,R,WY
69,0,Smith (R-NH),Bob,S216,Smith,R,NH
70,0,Snowe (R-ME),Olympia,S245,Snowe,R,ME
71,0,Specter (R-PA),Arlen,S161,Specter,R,PA
72,0,Stevens (R-AK),Ted,S090,Stevens,R,AK
73,0,Thomas (R-WY),Craig,S246,Thomas,R,WY
74,0,Thompson (R-TN),Fred,S237,Thompson,R,TN
75,0,Thurmond (R-SC),Strom,S096,Thurmond,R,SC
76,0,Warner (R-VA),John,S143,Warner,R,VA
77,1,Ashcroft (R-MO),John,S239,Ashcroft,R,MO
78,1,Bennett (R-UT),Robert,S231,Bennett,R,UT
79,1,Bond (R-MO),Christopher,S200,Bond,R,MO
80,1,Brown (R-CO),Hank,S214,Brown,R,CO
81,1,Burns (R-MT),Conrad,S211,Burns,R,MT
82,1,Campbell (D-CO),Ben,S225,Campbell,D,CO
83,1,Chafee (R-RI),John,S116,Chafee,R,RI
84,1,Coats (R-IN),Dan,S212,Coats,R,IN
85,1,Cochran (R-MS),Thad,S136,Cochran,R,MS
86,1,Cohen (R-ME),William,S137,Cohen,R,ME
87,1,Coverdell (R-GA),Paul,S228,Coverdell,R,GA
88,1,Craig (R-ID),Larry,S215,Craig,R,ID
89,1,D'Amato (R-NY),Alfonse,S147,D'Amato,R,NY
90,1,DeWine (R-OH),Mike,S240,DeWine,R,OH
91,1,Dole (R-KS),Bob,S026,Dole,R,KS
92,1,Domenici (R-NM),Pete,S027,Domenici,R,NM
93,1,Faircloth (R-NC),Lauch,S227,Faircloth,R,NC
94,1,Frist (R-TN),Bill,S241,Frist,R,TN
95,1,Gorton (R-WA),Slade,S152,Gorton,R,WA
96,1,Grams (R-MN),Rod,S242,Grams,R,MN
97,1,Grassley (R-IA),Chuck,S153,Grassley,R,IA
98,1,Gregg (R-NH),Judd,S224,Gregg,R,NH
99,1,Hatch (R-UT),Orrin,S118,Hatch,R,UT
100,1,Helms (R-NC),Jesse,S046,Helms,R,NC
101,1,Hutchison (R-TX),Kay,S235,Hutchison,R,TX
102,1,Inhofe (R-OK),James,S236,Inhofe,R,OK
103,1,Jeffords (R-VT),James,S204,Jeffords,R,VT
104,1,Johnston (D-LA),J.,S054,Johnston,D,LA
105,1,Kassebaum (R-KS),Nancy,S140,Kassebaum,R,KS
106,1,Kempthorne (R-ID),Dirk,S232,Kempthorne,R,ID
