,bill_number,display_name,first_name,id,last_name,party,state
1,0,Adams (D-WA),Brock,S180,Adams,D,WA
2,0,Armstrong (R-CO),William,S134,Armstrong,R,CO
3,0,Baucus (D-MT),Max,S127,Baucus,D,MT
4,0,Bentsen (D-TX),Lloyd,S009,Bentsen,D,TX
5,0,Biden (D-DE),Joseph,S010,Biden,D,DE
6,0,Bingaman (D-NM),Jeff,S167,Bingaman,D,NM
7,0,Bond (R-MO),Christopher,S200,Bond,R,MO
8,0,Boren (D-OK),David,S128,Boren,D,OK
9,0,Boschwitz (R-MN),Rudy,S135,Boschwitz,R,MN
10,0,Bradley (D-NJ),Bill,S132,Bradley,D,NJ
11,0,Breaux (D-LA),John,S179,Breaux,D,LA
12,0,Bryan (D-NV),Richard,S206,Bryan,D,NV
13,0,Bumpers (D-AR),Dale,S014,Bumpers,D,AR
14,0,Burdick (D-ND),Quentin,S015,Burdick,D,ND
15,0,Burns (R-MT),Conrad,S211,Burns,R,MT
16,0,Byrd (D-WV),Robert,S017,Byrd,D,WV
17,0,Chafee (R-RI),John,S116,Chafee,R,RI
18,0,Coats (R-IN),Dan,S212,Coats,R,IN
19,0,Cochran (R-MS),Thad,S136,Cochran,R,MS
20,0,Cohen (R-ME),William,S137,Cohen,R,ME
21,0,Conrad (D-ND),Kent,S201,Conrad,D,ND
22,0,Cranston (D-CA),Alan,S023,Cranston,D,CA
23,0,D'Amato (R-NY),Alfonse,S147,D'Amato,R,NY
24,0,Danforth (R-MO),John,S108,Danforth,R,MO
25,0,Daschle (D-SD),Thomas,S185,Daschle,D,SD
26,0,DeConcini (D-AZ),Dennis,S102,DeConcini,D,AZ
27,0,Dixon (D-IL),Alan,S149,Dixon,D,IL
28,0,Dodd (D-CT),Christopher,S150,Dodd,D,CT
29,0,Dole (R-KS),Bob,S026,Dole,R,KS
30,0,Domenici (R-NM),Pete,S027,Domenici,R,NM
31,0,Durenberger (R-MN),Dave,S133,Durenberger,R,MN
32,0,Exon (D-NE),J.,S129,Exon,D,NE
33,0,Ford (D-KY),Wendell,S033,Ford,D,KY
34,0,Fowler (D-GA),Wyche,S183,Fowler,D,GA
35,0,Garn (R-UT),Jake,S034,Garn,R,UT
36,0,Glenn (D-OH),John,S035,Glenn,D,OH
37,0,Gore (D-TN),Albert,S170,Gore,D,TN
38,0,Gorton (R-WA),Slade,S152,Gorton,R,WA
39,0,Graham (D-FL),Bob,S199,Graham,D,FL
40,0,Gramm (R-TX),Phil,S171,Gramm,R,TX
41,0,Grassley (R-IA),Chuck,S153,Grassley,R,IA
42,0,Harkin (D-IA),Tom,S172,Harkin,D,IA
43,0,Hatch (R-UT),Orrin,S118,Hatch,R,UT
44,0,Hatfield (R-OR),Mark,S044,Hatfield,R,OR
45,0,Heflin (D-AL),Howell,S130,Heflin,D,AL
46,0,Heinz (R-PA),John,S115,Heinz,R,PA
47,0,Helms (R-NC),Jesse,S046,Helms,R,NC
48,0,Hollings (D-SC),Ernest,S047,Hollings,D,SC
49,0,Humphrey (R-NH),Gordon,S138,Humphrey,R,NH
50,0,Inouye (D-HI),Daniel,S051,Inouye,D,HI
51,0,Jeffords (R-VT),James,S204,Jeffords,R,VT
52,0,Johnston (D-LA),J.,S054,Johnston,D,LA
53,0,Kassebaum (R-KS),Nancy,S140,Kassebaum,R,KS
54,0,Kasten (R-WI),Robert,S155,Kasten,R,WI
55,0,Kennedy (D-MA),Edward,S055,Kennedy,D,MA
56,0,Kerrey (D-NE),J.,S208,Kerrey,D,NE
57,0,Kerry (D-MA),John,S173,Kerry,D,MA
