,0,bill_number,display_name,first_name,id,last_name,party,state
11032,,188,Collins (R-ME),Susan,S252,Collins,R,ME
11033,,188,Conrad (D-ND),Kent,S201,Conrad,D,ND
11034,,188,Craig (R-ID),Larry,S215,Craig,R,ID
11035,,188,Crapo (R-ID),Michael,S266,Crapo,R,ID
11036,,188,Domenici (R-NM),Pete,S027,Domenici,R,NM
11037,,188,Dorgan (D-ND),Byron,S222,Dorgan,D,ND
11038,,188,Ensign (R-NV),John,S281,Ensign,R,NV
11039,,188,Enzi (R-WY),Michael,S254,Enzi,R,WY
11040,,188,Fitzgerald (R-IL),Peter,S268,Fitzgerald,R,IL
11041,,188,Frist (R-TN),Bill,S241,Frist,R,TN
11042,,188,Gramm (R-TX),Phil,S171,Gramm,R,TX
11043,,188,Grassley (R-IA),Chuck,S153,Grassley,R,IA
11044,,188,Gregg (R-NH),Judd,S224,Gregg,R,NH
11045,,188,Hatch (R-UT),Orrin,S118,Hatch,R,UT
11046,,188,Helms (R-NC),Jesse,S046,Helms,R,NC
11047,,188,Hollings (D-SC),Ernest,S047,Hollings,D,SC
11048,,188,Hutchinson (R-AR),Tim,S256,Hutchinson,R,AR
11049,,188,Hutchison (R-TX),Kay,S235,Hutchison,R,TX
11050,,188,Inhofe (R-OK),James,S236,Inhofe,R,OK
11051,,188,Johnson (D-SD),Tim,S257,Johnson,D,SD
11052,,188,Kyl (R-AZ),Jon,S243,Kyl,R,AZ
11053,,188,Lott (R-MS),Trent,S203,Lott,R,MS
11054,,188,Lugar (R-IN),Richard,S105,Lugar,R,IN
11055,,188,McCain (R-AZ),John,S197,McCain,R,AZ
11056,,188,McConnell (R-KY),Mitch,S174,McConnell,R,KY
11057,,188,Miller (D-GA),Zell,S273,Miller,D,GA
11058,,188,Murkowski (R-AK),Frank,S157,Murkowski,R,AK
11059,,188,Nickles (R-OK),Don,S158,Nickles,R,OK
11060,,188,Roberts (R-KS),Pat,S260,Roberts,R,KS
11061,,188,Santorum (R-PA),Rick,S244,Santorum,R,PA
11062,,188,Sessions (R-AL),Jeff,S261,Sessions,R,AL
11063,,188,Shelby (R-AL),Richard,S184,Shelby,R,AL
11064,,188,Smith (R-NH),Bob,S216,Smith,R,NH
11065,,188,Smith (R-OR),Gordon,S262,Smith,R,OR
11066,,188,Stevens (R-AK),Ted,S090,Stevens,R,AK
11067,,188,Thomas (R-WY),Craig,S246,Thomas,R,WY
11068,,188,Thompson (R-TN),Fred,S237,Thompson,R,TN
11069,,188,Thurmond (R-SC),Strom,S096,Thurmond,R,SC
11070,,188,Warner (R-VA),John,S143,Warner,R,VA
11071,,189,Allard (R-CO),Wayne,S250,Allard,R,CO
11072,,189,Allen (R-VA),George,S274,Allen,R,VA
11073,,189,Bennett (R-UT),Robert,S231,Bennett,R,UT
11074,,189,Bond (R-MO),Christopher,S200,Bond,R,MO
11075,,189,Breaux (D-LA),John,S179,Breaux,D,LA
11076,,189,Brownback (R-KS),Sam,S249,Brownback,R,KS
11077,,189,Bunning (R-KY),Jim,S265,Bunning,R,KY
11078,,189,Burns (R-MT),Conrad,S211,Burns,R,MT
11079,,189,Campbell (R-CO),Ben,S225,Campbell,R,CO
11080,,189,Cochran (R-MS),Thad,S136,Cochran,R,MS
11081,,189,Conrad (D-ND),Kent,S201,Conrad,D,ND
11082,,189,Craig (R-ID),Larry,S215,Craig,R,ID
