,bill_number,display_name,first_name,id,last_name,party,state
1,0,Alexander (R-TN),Lamar,S289,Alexander,R,TN
2,0,Allard (R-CO),A.,S250,Allard,R,CO
3,0,Allen (R-VA),George,S274,Allen,R,VA
4,0,Bennett (R-UT),Robert,S231,Bennett,R,UT
5,0,Bond (R-MO),Christopher,S200,Bond,R,MO
6,0,Brownback (R-KS),Sam,S249,Brownback,R,KS
7,0,Bunning (R-KY),Jim,S265,Bunning,R,KY
8,0,Burns (R-MT),Conrad,S211,Burns,R,MT
9,0,Chafee (R-RI),Lincoln,S272,Chafee,R,RI
10,0,Cochran (R-MS),Thad,S136,Cochran,R,MS
11,0,Coleman (R-MN),Norm,S291,Coleman,R,MN
12,0,Collins (R-ME),Susan,S252,Collins,R,ME
13,0,Cornyn (R-TX),John,S287,Cornyn,R,TX
14,0,Craig (R-ID),Larry,S215,Craig,R,ID
15,0,Crapo (R-ID),Michael,S266,Crapo,R,ID
16,0,DeWine (R-OH),Mike,S240,DeWine,R,OH
17,0,Dole (R-NC),Elizabeth,S292,Dole,R,NC
18,0,Domenici (R-NM),Pete,S027,Domenici,R,NM
19,0,Enzi (R-WY),Michael,S254,Enzi,R,WY
20,0,Fitzgerald (R-IL),Peter,S268,Fitzgerald,R,IL
21,0,Graham (R-SC),Lindsey,S293,Graham,R,SC
22,0,Grassley (R-IA),Chuck,S153,Grassley,R,IA
23,0,Gregg (R-NH),Judd,S224,Gregg,R,NH
24,0,Hagel (R-NE),Chuck,S255,Hagel,R,NE
25,0,Hatch (R-UT),Orrin,S118,Hatch,R,UT
26,0,Hollings (D-SC),Ernest,S047,Hollings,D,SC
27,0,Hutchison (R-TX),Kay,S235,Hutchison,R,TX
28,0,Inhofe (R-OK),Jim,S236,Inhofe,R,OK
29,0,Kyl (R-AZ),Jon,S243,Kyl,R,AZ
30,0,Lott (R-MS),Trent,S203,Lott,R,MS
31,0,Lugar (R-IN),Richard,S105,Lugar,R,IN
32,0,McConnell (R-KY),Mitch,S174,McConnell,R,KY
33,0,Miller (D-GA),Zell,S273,Miller,D,GA
34,0,Murkowski (R-AK),Lisa,S288,Murkowski,R,AK
35,0,Murray (D-WA),Patty,S229,Murray,D,WA
36,0,Nickles (R-OK),Don,S158,Nickles,R,OK
37,0,Roberts (R-KS),Pat,S260,Roberts,R,KS
38,0,Santorum (R-PA),Rick,S244,Santorum,R,PA
39,0,Sessions (R-AL),Jeff,S261,Sessions,R,AL
40,0,Shelby (R-AL),Richard,S184,Shelby,R,AL
41,0,Smith (R-OR),Gordon,S262,Smith,R,OR
42,0,Specter (R-PA),Arlen,S161,Specter,R,PA
43,0,Stevens (R-AK),Ted,S090,Stevens,R,AK
44,0,Sununu (R-NH),John,S296,Sununu,R,NH
45,0,Talent (R-MO),Jim,S286,Talent,R,MO
46,0,Thomas (R-WY),Craig,S246,Thomas,R,WY
47,0,Voinovich (R-OH),George,S271,Voinovich,R,OH
48,0,Warner (R-VA),John,S143,Warner,R,VA
49,1,Alexander (R-TN),Lamar,S289,Alexander,R,TN
50,1,Allard (R-CO),A.,S250,Allard,R,CO
51,1,Allen (R-VA),George,S274,Allen,R,VA
52,1,Bennett (R-UT),Robert,S231,Bennett,R,UT
53,1,Bingaman (D-NM),Jeff,S167,Bingaman,D,NM
54,1,Bond (R-MO),Christopher,S200,Bond,R,MO
55,1,Breaux (D-LA),John,S179,Breaux,D,LA
56,1,Brownback (R-KS),Sam,S249,Brownback,R,KS
57,1,Bunning (R-KY),Jim,S265,Bunning,R,KY
58,1,Burns (R-MT),Conrad,S211,Burns,R,MT
59,1,Campbell (R-CO),Ben,S225,Campbell,R,CO
60,1,Carper (D-DE),Thomas,S277,Carper,D,DE
61,1,Chafee (R-RI),Lincoln,S272,Chafee,R,RI
62,1,Cochran (R-MS),Thad,S136,Cochran,R,MS
63,1,Coleman (R-MN),Norm,S291,Coleman,R,MN
64,1,Collins (R-ME),Susan,S252,Collins,R,ME
65,1,Cornyn (R-TX),John,S287,Cornyn,R,TX
66,1,Craig (R-ID),Larry,S215,Craig,R,ID
67,1,Crapo (R-ID),Michael,S266,Crapo,R,ID
68,1,Dayton (D-MN),Mark,S280,Dayton,D,MN
69,1,DeWine (R-OH),Mike,S240,DeWine,R,OH
70,1,Dole (R-NC),Elizabeth,S292,Dole,R,NC
71,1,Enzi (R-WY),Michael,S254,Enzi,R,WY
72,1,Feinstein (D-CA),Dianne,S221,Feinstein,D,CA
73,1,Fitzgerald (R-IL),Peter,S268,Fitzgerald,R,IL
74,1,Frist (R-TN),Bill,S241,Frist,R,TN
75,1,Graham (R-SC),Lindsey,S293,Graham,R,SC
76,1,Grassley (R-IA),Chuck,S153,Grassley,R,IA
77,1,Gregg (R-NH),Judd,S224,Gregg,R,NH
78,1,Harkin (D-IA),Tom,S172,Harkin,D,IA
79,1,Hatch (R-UT),Orrin,S118,Hatch,R,UT
80,1,Hollings (D-SC),Ernest,S047,Hollings,D,SC
81,1,Hutchison (R-TX),Kay,S235,Hutchison,R,TX
82,1,Inhofe (R-OK),Jim,S236,Inhofe,R,OK
83,1,Inouye (D-HI),Daniel,S051,Inouye,D,HI
84,1,Kyl (R-AZ),Jon,S243,Kyl,R,AZ
85,1,Landrieu (D-LA),Mary,S258,Landrieu,D,LA
86,1,Leahy (D-VT),Patrick,S057,Leahy,D,VT
87,1,Lott (R-MS),Trent,S203,Lott,R,MS
88,1,Lugar (R-IN),Richard,S105,Lugar,R,IN
89,1,McConnell (R-KY),Mitch,S174,McConnell,R,KY
90,1,Mikulski (D-MD),Barbara,S182,Mikulski,D,MD
91,1,Miller (D-GA),Zell,S273,Miller,D,GA
92,1,Murkowski (R-AK),Lisa,S288,Murkowski,R,AK
93,1,Murray (D-WA),Patty,S229,Murray,D,WA
94,1,Nelson (D-NE),E.,S283,Nelson,D,NE
95,1,Nickles (R-OK),Don,S158,Nickles,R,OK
96,1,Reid (D-NV),Harry,S198,Reid,D,NV
97,1,Roberts (R-KS),Pat,S260,Roberts,R,KS
98,1,Santorum (R-PA),Rick,S244,Santorum,R,PA
99,1,Schumer (D-NY),Charles,S270,Schumer,D,NY
100,1,Sessions (R-AL),Jeff,S261,Sessions,R,AL
101,1,Shelby (R-AL),Richard,S184,Shelby,R,AL
102,1,Smith (R-OR),Gordon,S262,Smith,R,OR
103,1,Specter (R-PA),Arlen,S161,Specter,R,PA
104,1,Stevens (R-AK),Ted,S090,Stevens,R,AK
105,1,Sununu (R-NH),John,S296,Sununu,R,NH
106,1,Talent (R-MO),Jim,S286,Talent,R,MO
107,1,Thomas (R-WY),Craig,S246,Thomas,R,WY
108,1,Voinovich (R-OH),George,S271,Voinovich,R,OH
109,1,Warner (R-VA),John,S143,Warner,R,VA
110,2,Akaka (D-HI),Daniel,S213,Akaka,D,HI
111,2,Alexander (R-TN),Lamar,S289,Alexander,R,TN
112,2,Allen (R-VA),George,S274,Allen,R,VA
113,2,Bennett (R-UT),Robert,S231,Bennett,R,UT
114,2,Bingaman (D-NM),Jeff,S167,Bingaman,D,NM
115,2,Bond (R-MO),Christopher,S200,Bond,R,MO
116,2,Breaux (D-LA),John,S179,Breaux,D,LA
117,2,Brownback (R-KS),Sam,S249,Brownback,R,KS
118,2,Bunning (R-KY),Jim,S265,Bunning,R,KY
119,2,Burns (R-MT),Conrad,S211,Burns,R,MT
120,2,Campbell (R-CO),Ben,S225,Campbell,R,CO
121,2,Cantwell (D-WA),Maria,S275,Cantwell,D,WA
122,2,Carper (D-DE),Thomas,S277,Carper,D,DE
123,2,Chafee (R-RI),Lincoln,S272,Chafee,R,RI
124,2,Cochran (R-MS),Thad,S136,Cochran,R,MS
125,2,Coleman (R-MN),Norm,S291,Coleman,R,MN
126,2,Collins (R-ME),Susan,S252,Collins,R,ME
127,2,Cornyn (R-TX),John,S287,Cornyn,R,TX
128,2,Craig (R-ID),Larry,S215,Craig,R,ID
129,2,Crapo (R-ID),Michael,S266,Crapo,R,ID
130,2,DeWine (R-OH),Mike,S240,DeWine,R,OH
131,2,Dodd (D-CT),Christopher,S150,Dodd,D,CT
132,2,Dole (R-NC),Elizabeth,S292,Dole,R,NC
133,2,Durbin (D-IL),Richard,S253,Durbin,D,IL
134,2,Enzi (R-WY),Michael,S254,Enzi,R,WY
135,2,Feinstein (D-CA),Dianne,S221,Feinstein,D,CA
136,2,Fitzgerald (R-IL),Peter,S268,Fitzgerald,R,IL
137,2,Frist (R-TN),Bill,S241,Frist,R,TN
138,2,Graham (R-SC),Lindsey,S293,Graham,R,SC
139,2,Grassley (R-IA),Chuck,S153,Grassley,R,IA
140,2,Gregg (R-NH),Judd,S224,Gregg,R,NH
141,2,Harkin (D-IA),Tom,S172,Harkin,D,IA
142,2,Hatch (R-UT),Orrin,S118,Hatch,R,UT
143,2,Hollings (D-SC),Ernest,S047,Hollings,D,SC
144,2,Hutchison (R-TX),Kay,S235,Hutchison,R,TX
145,2,Inhofe (R-OK),Jim,S236,Inhofe,R,OK
146,2,Inouye (D-HI),Daniel,S051,Inouye,D,HI
147,2,Kyl (R-AZ),Jon,S243,Kyl,R,AZ
148,2,Landrieu (D-LA),Mary,S258,Landrieu,D,LA
149,2,Lincoln (D-AR),Blanche,S269,Lincoln,D,AR
150,2,Lott (R-MS),Trent,S203,Lott,R,MS
151,2,Lugar (R-IN),Richard,S105,Lugar,R,IN
152,2,McConnell (R-KY),Mitch,S174,McConnell,R,KY
153,2,Mikulski (D-MD),Barbara,S182,Mikulski,D,MD
154,2,Miller (D-GA),Zell,S273,Miller,D,GA
155,2,Murkowski (R-AK),Lisa,S288,Murkowski,R,AK
156,2,Murray (D-WA),Patty,S229,Murray,D,WA
157,2,Nelson (D-FL),Bill,S282,Nelson,D,FL
158,2,Nelson (D-NE),E.,S283,Nelson,D,NE
159,2,Nickles (R-OK),Don,S158,Nickles,R,OK
160,2,Pryor (D-AR),Mark,S295,Pryor,D,AR
161,2,Reid (D-NV),Harry,S198,Reid,D,NV
162,2,Roberts (R-KS),Pat,S260,Roberts,R,KS
163,2,Santorum (R-PA),Rick,S244,Santorum,R,PA
164,2,Schumer (D-NY),Charles,S270,Schumer,D,NY
165,2,Sessions (R-AL),Jeff,S261,Sessions,R,AL
166,2,Shelby (R-AL),Richard,S184,Shelby,R,AL
167,2,Smith (R-OR),Gordon,S262,Smith,R,OR
168,2,Specter (R-PA),Arlen,S161,Specter,R,PA
169,2,Stevens (R-AK),Ted,S090,Stevens,R,AK
170,2,Sununu (R-NH),John,S296,Sununu,R,NH
171,2,Talent (R-MO),Jim,S286,Talent,R,MO
172,2,Thomas (R-WY),Craig,S246,Thomas,R,WY
173,2,Voinovich (R-OH),George,S271,Voinovich,R,OH
174,2,Warner (R-VA),John,S143,Warner,R,VA
175,3,Akaka (D-HI),Daniel,S213,Akaka,D,HI
176,3,Alexander (R-TN),Lamar,S289,Alexander,R,TN
177,3,Allen (R-VA),George,S274,Allen,R,VA
178,3,Bayh (D-IN),Evan,S264,Bayh,D,IN
179,3,Bennett (R-UT),Robert,S231,Bennett,R,UT
180,3,Bingaman (D-NM),Jeff,S167,Bingaman,D,NM
181,3,Bond (R-MO),Christopher,S200,Bond,R,MO
182,3,Boxer (D-CA),Barbara,S223,Boxer,D,CA
183,3,Breaux (D-LA),John,S179,Breaux,D,LA
184,3,Brownback (R-KS),Sam,S249,Brownback,R,KS
185,3,Byrd (D-WV),Robert,S017,Byrd,D,WV
186,3,Cantwell (D-WA),Maria,S275,Cantwell,D,WA
187,3,Carper (D-DE),Thomas,S277,Carper,D,DE
188,3,Clinton (D-NY),Hillary,S278,Clinton,D,NY
