,0,bill_number,display_name,first_name,id,last_name,party,state
1,,0,Alexander (R-TN),Lamar,S289,Alexander,R,TN
2,,0,Allard (R-CO),Wayne,S250,Allard,R,CO
3,,0,Allen (R-VA),George,S274,Allen,R,VA
4,,0,Bennett (R-UT),Robert,S231,Bennett,R,UT
5,,0,Bond (R-MO),Christopher,S200,Bond,R,MO
6,,0,Brownback (R-KS),Sam,S249,Brownback,R,KS
7,,0,Bunning (R-KY),Jim,S265,Bunning,R,KY
8,,0,Burns (R-MT),Conrad,S211,Burns,R,MT
9,,0,Campbell (R-CO),Ben,S225,Campbell,R,CO
10,,0,Chafee (R-RI),Lincoln,S272,Chafee,R,RI
11,,0,Chambliss (R-GA),Saxby,S290,Chambliss,R,GA
12,,0,Cochran (R-MS),Thad,S136,Cochran,R,MS
13,,0,Coleman (R-MN),Norm,S291,Coleman,R,MN
14,,0,Collins (R-ME),Susan,S252,Collins,R,ME
15,,0,Cornyn (R-TX),John,S287,Cornyn,R,TX
16,,0,Craig (R-ID),Larry,S215,Craig,R,ID
17,,0,Crapo (R-ID),Michael,S266,Crapo,R,ID
18,,0,DeWine (R-OH),Mike,S240,DeWine,R,OH
19,,0,Dole (R-NC),Elizabeth,S292,Dole,R,NC
20,,0,Domenici (R-NM),Pete,S027,Domenici,R,NM
21,,0,Ensign (R-NV),John,S281,Ensign,R,NV
22,,0,Enzi (R-WY),Michael,S254,Enzi,R,WY
23,,0,Fitzgerald (R-IL),Peter,S268,Fitzgerald,R,IL
24,,0,Frist (R-TN),Bill,S241,Frist,R,TN
25,,0,Graham (R-SC),Lindsey,S293,Graham,R,SC
26,,0,Grassley (R-IA),Chuck,S153,Grassley,R,IA
27,,0,Gregg (R-NH),Judd,S224,Gregg,R,NH
28,,0,Hagel (R-NE),Chuck,S255,Hagel,R,NE
29,,0,Hatch (R-UT),Orrin,S118,Hatch,R,UT
30,,0,Hutchison (R-TX),Kay,S235,Hutchison,R,TX
31,,0,Inhofe (R-OK),James,S236,Inhofe,R,OK
32,,0,Kyl (R-AZ),Jon,S243,Kyl,R,AZ
33,,0,Lott (R-MS),Trent,S203,Lott,R,MS
34,,0,Lugar (R-IN),Richard,S105,Lugar,R,IN
35,,0,McCain (R-AZ),John,S197,McCain,R,AZ
36,,0,McConnell (R-KY),Mitch,S174,McConnell,R,KY
37,,0,Murkowski (R-AK),Lisa,S288,Murkowski,R,AK
38,,0,Nickles (R-OK),Don,S158,Nickles,R,OK
39,,0,Roberts (R-KS),Pat,S260,Roberts,R,KS
40,,0,Santorum (R-PA),Rick,S244,Santorum,R,PA
41,,0,Sessions (R-AL),Jeff,S261,Sessions,R,AL
42,,0,Shelby (R-AL),Richard,S184,Shelby,R,AL
43,,0,Smith (R-OR),Gordon,S262,Smith,R,OR
44,,0,Snowe (R-ME),Olympia,S245,Snowe,R,ME
45,,0,Specter (R-PA),Arlen,S161,Specter,R,PA
46,,0,Stevens (R-AK),Ted,S090,Stevens,R,AK
47,,0,Sununu (R-NH),John,S296,Sununu,R,NH
48,,0,Talent (R-MO),Jim,S286,Talent,R,MO
49,,0,Thomas (R-WY),Craig,S246,Thomas,R,WY
50,,0,Voinovich (R-OH),George,S271,Voinovich,R,OH
51,,0,Warner (R-VA),John,S143,Warner,R,VA
52,,1,Akaka (D-HI),Daniel,S213,Akaka,D,HI
53,,1,Baucus (D-MT),Max,S127,Baucus,D,MT
54,,1,Bayh (D-IN),Evan,S264,Bayh,D,IN
55,,1,Biden (D-DE),Joseph,S010,Biden,D,DE
56,,1,Bingaman (D-NM),Jeff,S167,Bingaman,D,NM
57,,1,Boxer (D-CA),Barbara,S223,Boxer,D,CA
58,,1,Breaux (D-LA),John,S179,Breaux,D,LA
59,,1,Byrd (D-WV),Robert,S017,Byrd,D,WV
60,,1,Cantwell (D-WA),Maria,S275,Cantwell,D,WA
61,,1,Carper (D-DE),Thomas,S277,Carper,D,DE
62,,1,Clinton (D-NY),Hillary,S278,Clinton,D,NY
63,,1,Corzine (D-NJ),Jon,S279,Corzine,D,NJ
64,,1,Daschle (D-SD),Thomas,S185,Daschle,D,SD
65,,1,Dayton (D-MN),Mark,S280,Dayton,D,MN
66,,1,Dodd (D-CT),Christopher,S150,Dodd,D,CT
67,,1,Dorgan (D-ND),Byron,S222,Dorgan,D,ND
68,,1,Durbin (D-IL),Richard,S253,Durbin,D,IL
69,,1,Feingold (D-WI),Russell,S230,Feingold,D,WI
70,,1,Feinstein (D-CA),Dianne,S221,Feinstein,D,CA
71,,1,Graham (D-FL),Bob,S199,Graham,D,FL
72,,1,Harkin (D-IA),Tom,S172,Harkin,D,IA
73,,1,Hollings (D-SC),Ernest,S047,Hollings,D,SC
