,bill_number,display_name,first_name,id,last_name,party,state
1,0,Alexander (R-TN),Lamar,S289,Alexander,R,TN
2,0,Ayotte (R-NH),Kelly,S340,Ayotte,R,NH
3,0,Baldwin (D-WI),Tammy,S354,Baldwin,D,WI
4,0,Barrasso (R-WY),John,S317,Barrasso,R,WY
5,0,Baucus (D-MT),Max,S127,Baucus,D,MT
6,0,Begich (D-AK),Mark,S319,Begich,D,AK
7,0,Bennet (D-CO),Michael,S330,Bennet,D,CO
8,0,Blumenthal (D-CT),Richard,S341,Blumenthal,D,CT
9,0,Blunt (R-MO),Roy,S342,Blunt,R,MO
10,0,Boozman (R-AR),John,S343,Boozman,R,AR
11,0,Boxer (D-CA),Barbara,S223,Boxer,D,CA
12,0,Brown (D-OH),Sherrod,S307,Brown,D,OH
13,0,Cantwell (D-WA),Maria,S275,Cantwell,D,WA
14,0,Cardin (D-MD),Ben,S308,Cardin,D,MD
15,0,Carper (D-DE),Thomas,S277,Carper,D,DE
16,0,Casey (D-PA),Bob,S309,Casey,D,PA
17,0,Cochran (R-MS),Thad,S136,Cochran,R,MS
18,0,Collins (R-ME),Susan,S252,Collins,R,ME
19,0,Coons (D-DE),Christopher,S337,Coons,D,DE
20,0,Corker (R-TN),Bob,S310,Corker,R,TN
21,0,Cornyn (R-TX),John,S287,Cornyn,R,TX
22,0,Donnelly (D-IN),Joe,S356,Donnelly,D,IN
23,0,Durbin (D-IL),Richard,S253,Durbin,D,IL
24,0,Enzi (R-WY),Michael,S254,Enzi,R,WY
25,0,Feinstein (D-CA),Dianne,S221,Feinstein,D,CA
26,0,Fischer (R-NE),Deb,S357,Fischer,R,NE
27,0,Franken (D-MN),Al,S332,Franken,D,MN
28,0,Gillibrand (D-NY),Kirsten,S331,Gillibrand,D,NY
29,0,Grassley (R-IA),Chuck,S153,Grassley,R,IA
30,0,Hagan (D-NC),Kay,S320,Hagan,D,NC
31,0,Harkin (D-IA),Tom,S172,Harkin,D,IA
32,0,Heinrich (D-NM),Martin,S359,Heinrich,D,NM
33,0,Heitkamp (D-ND),Heidi,S360,Heitkamp,D,ND
34,0,Hirono (D-HI),Mazie,S361,Hirono,D,HI
35,0,Hoeven (R-ND),John,S344,Hoeven,R,ND
36,0,Inhofe (R-OK),Jim,S236,Inhofe,R,OK
37,0,Isakson (R-GA),Johnny,S305,Isakson,R,GA
38,0,Johanns (R-NE),Mike,S321,Johanns,R,NE
39,0,Johnson (D-SD),Tim,S257,Johnson,D,SD
40,0,Kaine (D-VA),Timothy,S362,Kaine,D,VA
41,0,Kerry (D-MA),John,S173,Kerry,D,MA
42,0,King (I-ME),Angus,S363,King,I,ME
43,0,Kirk (R-IL),Mark,S339,Kirk,R,IL
44,0,Klobuchar (D-MN),Amy,S311,Klobuchar,D,MN
45,0,Lautenberg (D-NJ),Frank,S166,Lautenberg,D,NJ
46,0,Leahy (D-VT),Patrick,S057,Leahy,D,VT
47,0,Levin (D-MI),Carl,S131,Levin,D,MI
48,0,Manchin (D-WV),Joe,S338,Manchin,D,WV
49,0,McCain (R-AZ),John,S197,McCain,R,AZ
50,0,McCaskill (D-MO),Claire,S312,McCaskill,D,MO
51,0,McConnell (R-KY),Mitch,S174,McConnell,R,KY
52,0,Menendez (D-NJ),Robert,S306,Menendez,D,NJ
53,0,Merkley (D-OR),Jeff,S322,Merkley,D,OR
54,0,Mikulski (D-MD),Barbara,S182,Mikulski,D,MD
55,0,Moran (R-KS),Jerry,S347,Moran,R,KS
56,0,Murkowski (R-AK),Lisa,S288,Murkowski,R,AK
57,0,Murphy (D-CT),Christopher,S364,Murphy,D,CT
58,0,Murray (D-WA),Patty,S229,Murray,D,WA
59,0,Nelson (D-FL),Bill,S282,Nelson,D,FL
60,0,Portman (R-OH),Rob,S349,Portman,R,OH
61,0,Pryor (D-AR),Mark,S295,Pryor,D,AR
62,0,Reed (D-RI),John,S259,Reed,D,RI
63,0,Reid (D-NV),Harry,S198,Reid,D,NV
64,0,Roberts (R-KS),Pat,S260,Roberts,R,KS
65,0,Rockefeller (D-WV),Jay,S176,Rockefeller,D,WV
66,0,Schatz (D-HI),Brian,S353,Schatz,D,HI
67,0,Schumer (D-NY),Charles,S270,Schumer,D,NY
68,0,Shaheen (D-NH),Jeanne,S324,Shaheen,D,NH
69,0,Stabenow (D-MI),Debbie,S284,Stabenow,D,MI
70,0,Tester (D-MT),Jon,S314,Tester,D,MT
71,0,Thune (R-SD),John,S303,Thune,R,SD
72,0,Udall (D-CO),Mark,S325,Udall,D,CO
73,0,Udall (D-NM),Tom,S326,Udall,D,NM
74,0,Warner (D-VA),Mark,S327,Warner,D,VA
75,0,Warren (D-MA),Elizabeth,S366,Warren,D,MA
76,0,Whitehouse (D-RI),Sheldon,S316,Whitehouse,D,RI
77,0,Wicker (R-MS),Roger,S318,Wicker,R,MS
78,0,Wyden (D-OR),Ron,S247,Wyden,D,OR
79,1,Alexander (R-TN),Lamar,S289,Alexander,R,TN
80,1,Ayotte (R-NH),Kelly,S340,Ayotte,R,NH
81,1,Baldwin (D-WI),Tammy,S354,Baldwin,D,WI
82,1,Barrasso (R-WY),John,S317,Barrasso,R,WY
83,1,Baucus (D-MT),Max,S127,Baucus,D,MT
84,1,Begich (D-AK),Mark,S319,Begich,D,AK
85,1,Bennet (D-CO),Michael,S330,Bennet,D,CO
86,1,Blumenthal (D-CT),Richard,S341,Blumenthal,D,CT
87,1,Blunt (R-MO),Roy,S342,Blunt,R,MO
88,1,Boozman (R-AR),John,S343,Boozman,R,AR
89,1,Boxer (D-CA),Barbara,S223,Boxer,D,CA
90,1,Brown (D-OH),Sherrod,S307,Brown,D,OH
91,1,Cantwell (D-WA),Maria,S275,Cantwell,D,WA
92,1,Cardin (D-MD),Ben,S308,Cardin,D,MD
93,1,Carper (D-DE),Thomas,S277,Carper,D,DE
94,1,Casey (D-PA),Bob,S309,Casey,D,PA
95,1,Cochran (R-MS),Thad,S136,Cochran,R,MS
96,1,Collins (R-ME),Susan,S252,Collins,R,ME
97,1,Coons (D-DE),Christopher,S337,Coons,D,DE
98,1,Corker (R-TN),Bob,S310,Corker,R,TN
99,1,Cornyn (R-TX),John,S287,Cornyn,R,TX
100,1,Crapo (R-ID),Mike,S266,Crapo,R,ID
101,1,Donnelly (D-IN),Joe,S356,Donnelly,D,IN
102,1,Durbin (D-IL),Richard,S253,Durbin,D,IL
103,1,Enzi (R-WY),Michael,S254,Enzi,R,WY
104,1,Feinstein (D-CA),Dianne,S221,Feinstein,D,CA
105,1,Fischer (R-NE),Deb,S357,Fischer,R,NE
106,1,Flake (R-AZ),Jeff,S358,Flake,R,AZ
107,1,Franken (D-MN),Al,S332,Franken,D,MN
108,1,Gillibrand (D-NY),Kirsten,S331,Gillibrand,D,NY
109,1,Grassley (R-IA),Chuck,S153,Grassley,R,IA
