,bill_number,display_name,first_name,id,last_name,party,state
2244,32,Reid (D-NV),Harry,S198,Reid,D,NV
2245,32,Rockefeller (D-WV),Jay,S176,Rockefeller,D,WV
2246,32,Salazar (D-CO),Ken,S297,Salazar,D,CO
2247,32,Santorum (R-PA),Rick,S244,Santorum,R,PA
2248,32,Sarbanes (D-MD),Paul,S106,Sarbanes,D,MD
2249,32,Schumer (D-NY),Charles,S270,Schumer,D,NY
2250,32,Smith (R-OR),Gordon,S262,Smith,R,OR
2251,32,Snowe (R-ME),Olympia,S245,Snowe,R,ME
2252,32,Specter (R-PA),Arlen,S161,Specter,R,PA
2253,32,Stabenow (D-MI),Debbie,S284,Stabenow,D,MI
2254,32,Stevens (R-AK),Ted,S090,Stevens,R,AK
2255,32,Sununu (R-NH),John,S296,Sununu,R,NH
2256,32,Talent (R-MO),Jim,S286,Talent,R,MO
2257,32,Thune (R-SD),John,S303,Thune,R,SD
2258,32,Voinovich (R-OH),George,S271,Voinovich,R,OH
2259,32,Warner (R-VA),John,S143,Warner,R,VA
2260,32,Wyden (D-OR),Ron,S247,Wyden,D,OR
2261,33,Akaka (D-HI),Daniel,S213,Akaka,D,HI
2262,33,Alexander (R-TN),Lamar,S289,Alexander,R,TN
2263,33,Baucus (D-MT),Max,S127,Baucus,D,MT
2264,33,Bayh (D-IN),Evan,S264,Bayh,D,IN
2265,33,Bennett (R-UT),Robert,S231,Bennett,R,UT
2266,33,Biden (D-DE),Joseph,S010,Biden,D,DE
2267,33,Bingaman (D-NM),Jeff,S167,Bingaman,D,NM
2268,33,Bond (R-MO),Christopher,S200,Bond,R,MO
2269,33,Boxer (D-CA),Barbara,S223,Boxer,D,CA
2270,33,Burns (R-MT),Conrad,S211,Burns,R,MT
2271,33,Cantwell (D-WA),Maria,S275,Cantwell,D,WA
2272,33,Carper (D-DE),Thomas,S277,Carper,D,DE
2273,33,Chafee (R-RI),Lincoln,S272,Chafee,R,RI
2274,33,Clinton (D-NY),Hillary,S278,Clinton,D,NY
2275,33,Cochran (R-MS),Thad,S136,Cochran,R,MS
2276,33,Coleman (R-MN),Norm,S291,Coleman,R,MN
2277,33,Collins (R-ME),Susan,S252,Collins,R,ME
2278,33,Conrad (D-ND),Kent,S201,Conrad,D,ND
2279,33,Dayton (D-MN),Mark,S280,Dayton,D,MN
2280,33,DeWine (R-OH),Mike,S240,DeWine,R,OH
2281,33,Dodd (D-CT),Christopher,S150,Dodd,D,CT
2282,33,Domenici (R-NM),Pete,S027,Domenici,R,NM
2283,33,Dorgan (D-ND),Byron,S222,Dorgan,D,ND
2284,33,Durbin (D-IL),Richard,S253,Durbin,D,IL
2285,33,Feingold (D-WI),Russ,S230,Feingold,D,WI
2286,33,Feinstein (D-CA),Dianne,S221,Feinstein,D,CA
2287,33,Frist (R-TN),Bill,S241,Frist,R,TN
2288,33,Grassley (R-IA),Charles,S153,Grassley,R,IA
2289,33,Gregg (R-NH),Judd,S224,Gregg,R,NH
2290,33,Hagel (R-NE),Chuck,S255,Hagel,R,NE
2291,33,Harkin (D-IA),Tom,S172,Harkin,D,IA
2292,33,Hatch (R-UT),Orrin,S118,Hatch,R,UT
2293,33,Inouye (D-HI),Daniel,S051,Inouye,D,HI
2294,33,Jeffords (I-VT),James,S204,Jeffords,I,VT
2295,33,Johnson (D-SD),Tim,S257,Johnson,D,SD
2296,33,Kennedy (D-MA),Edward,S055,Kennedy,D,MA
2297,33,Kerry (D-MA),John,S173,Kerry,D,MA
2298,33,Kohl (D-WI),Herb,S209,Kohl,D,WI
2299,33,Landrieu (D-LA),Mary,S258,Landrieu,D,LA
2300,33,Lautenberg (D-NJ),Frank,S166,Lautenberg,D,NJ
2301,33,Leahy (D-VT),Patrick,S057,Leahy,D,VT
2302,33,Levin (D-MI),Carl,S131,Levin,D,MI
2303,33,Lieberman (D-CT),Joseph,S210,Lieberman,D,CT
2304,33,Lincoln (D-AR),Blanche,S269,Lincoln,D,AR
2305,33,Lugar (R-IN),Richard,S105,Lugar,R,IN
2306,33,Menendez (D-NJ),Robert,S306,Menendez,D,NJ
2307,33,Mikulski (D-MD),Barbara,S182,Mikulski,D,MD
2308,33,Murkowski (R-AK),Lisa,S288,Murkowski,R,AK
2309,33,Murray (D-WA),Patty,S229,Murray,D,WA
2310,33,Nelson (D-NE),E.,S283,Nelson,D,NE
2311,33,Obama (D-IL),Barack,S298,Obama,D,IL
2312,33,Pryor (D-AR),Mark,S295,Pryor,D,AR
2313,33,Reed (D-RI),John,S259,Reed,D,RI
2314,33,Rockefeller (D-WV),Jay,S176,Rockefeller,D,WV
2315,33,Salazar (D-CO),Ken,S297,Salazar,D,CO
2316,33,Santorum (R-PA),Rick,S244,Santorum,R,PA
2317,33,Sarbanes (D-MD),Paul,S106,Sarbanes,D,MD
2318,33,Schumer (D-NY),Charles,S270,Schumer,D,NY
2319,33,Smith (R-OR),Gordon,S262,Smith,R,OR
2320,33,Snowe (R-ME),Olympia,S245,Snowe,R,ME
2321,33,Specter (R-PA),Arlen,S161,Specter,R,PA
2322,33,Stabenow (D-MI),Debbie,S284,Stabenow,D,MI
2323,33,Stevens (R-AK),Ted,S090,Stevens,R,AK
2324,33,Sununu (R-NH),John,S296,Sununu,R,NH
2325,33,Talent (R-MO),Jim,S286,Talent,R,MO
2326,33,Thune (R-SD),John,S303,Thune,R,SD
2327,33,Voinovich (R-OH),George,S271,Voinovich,R,OH
2328,33,Wyden (D-OR),Ron,S247,Wyden,D,OR
2329,34,Akaka (D-HI),Daniel,S213,Akaka,D,HI
2330,34,Baucus (D-MT),Max,S127,Baucus,D,MT
2331,34,Bayh (D-IN),Evan,S264,Bayh,D,IN
2332,34,Biden (D-DE),Joseph,S010,Biden,D,DE
2333,34,Bingaman (D-NM),Jeff,S167,Bingaman,D,NM
2334,34,Boxer (D-CA),Barbara,S223,Boxer,D,CA
2335,34,Cantwell (D-WA),Maria,S275,Cantwell,D,WA
2336,34,Carper (D-DE),Thomas,S277,Carper,D,DE
2337,34,Clinton (D-NY),Hillary,S278,Clinton,D,NY
2338,34,Conrad (D-ND),Kent,S201,Conrad,D,ND
2339,34,Dayton (D-MN),Mark,S280,Dayton,D,MN
2340,34,Dodd (D-CT),Christopher,S150,Dodd,D,CT
2341,34,Dorgan (D-ND),Byron,S222,Dorgan,D,ND
2342,34,Durbin (D-IL),Richard,S253,Durbin,D,IL
2343,34,Feingold (D-WI),Russ,S230,Feingold,D,WI
2344,34,Feinstein (D-CA),Dianne,S221,Feinstein,D,CA
2345,34,Harkin (D-IA),Tom,S172,Harkin,D,IA
2346,34,Inouye (D-HI),Daniel,S051,Inouye,D,HI
2347,34,Jeffords (I-VT),James,S204,Jeffords,I,VT
2348,34,Johnson (D-SD),Tim,S257,Johnson,D,SD
2349,34,Kennedy (D-MA),Edward,S055,Kennedy,D,MA
2350,34,Kerry (D-MA),John,S173,Kerry,D,MA
2351,34,Kohl (D-WI),Herb,S209,Kohl,D,WI
2352,34,Landrieu (D-LA),Mary,S258,Landrieu,D,LA
2353,34,Lautenberg (D-NJ),Frank,S166,Lautenberg,D,NJ
2354,34,Leahy (D-VT),Patrick,S057,Leahy,D,VT
2355,34,Levin (D-MI),Carl,S131,Levin,D,MI
2356,34,Lieberman (D-CT),Joseph,S210,Lieberman,D,CT
2357,34,Lincoln (D-AR),Blanche,S269,Lincoln,D,AR
2358,34,Menendez (D-NJ),Robert,S306,Menendez,D,NJ
2359,34,Mikulski (D-MD),Barbara,S182,Mikulski,D,MD
2360,34,Murray (D-WA),Patty,S229,Murray,D,WA
2361,34,Nelson (D-FL),Bill,S282,Nelson,D,FL
2362,34,Nelson (D-NE),E.,S283,Nelson,D,NE
2363,34,Obama (D-IL),Barack,S298,Obama,D,IL
2364,34,Pryor (D-AR),Mark,S295,Pryor,D,AR
2365,34,Reed (D-RI),John,S259,Reed,D,RI
2366,34,Reid (D-NV),Harry,S198,Reid,D,NV
2367,34,Rockefeller (D-WV),Jay,S176,Rockefeller,D,WV
2368,34,Salazar (D-CO),Ken,S297,Salazar,D,CO
2369,34,Sarbanes (D-MD),Paul,S106,Sarbanes,D,MD
2370,34,Schumer (D-NY),Charles,S270,Schumer,D,NY
2371,34,Stabenow (D-MI),Debbie,S284,Stabenow,D,MI
2372,34,Wyden (D-OR),Ron,S247,Wyden,D,OR
2373,35,Alexander (R-TN),Lamar,S289,Alexander,R,TN
2374,35,Allard (R-CO),A.,S250,Allard,R,CO
2375,35,Allen (R-VA),George,S274,Allen,R,VA
