,bill_number,display_name,first_name,id,last_name,party,state
1,0,Abraham (R-MI),Spencer,S238,Abraham,R,MI
2,0,Allard (R-CO),Wayne,S250,Allard,R,CO
3,0,Ashcroft (R-MO),John,S239,Ashcroft,R,MO
4,0,Bennett (R-UT),Robert,S231,Bennett,R,UT
5,0,Bond (R-MO),Christopher,S200,Bond,R,MO
6,0,Brownback (R-KS),Sam,S249,Brownback,R,KS
7,0,Bunning (R-KY),Jim,S265,Bunning,R,KY
8,0,Burns (R-MT),Conrad,S211,Burns,R,MT
9,0,Campbell (R-CO),Ben,S225,Campbell,R,CO
10,0,"Chafee, L.  (R-RI)",Lincoln,S272,Chafee,R,RI
11,0,Cochran (R-MS),Thad,S136,Cochran,R,MS
12,0,Collins (R-ME),Susan,S252,Collins,R,ME
13,0,Coverdell (R-GA),Paul,S228,Coverdell,R,GA
14,0,Craig (R-ID),Larry,S215,Craig,R,ID
15,0,Crapo (R-ID),Michael,S266,Crapo,R,ID
16,0,DeWine (R-OH),Mike,S240,DeWine,R,OH
17,0,Domenici (R-NM),Pete,S027,Domenici,R,NM
18,0,Enzi (R-WY),Michael,S254,Enzi,R,WY
19,0,Frist (R-TN),Bill,S241,Frist,R,TN
20,0,Gorton (R-WA),Slade,S152,Gorton,R,WA
21,0,Gramm (R-TX),Phil,S171,Gramm,R,TX
22,0,Grams (R-MN),Rod,S242,Grams,R,MN
23,0,Grassley (R-IA),Chuck,S153,Grassley,R,IA
24,0,Hagel (R-NE),Chuck,S255,Hagel,R,NE
25,0,Hatch (R-UT),Orrin,S118,Hatch,R,UT
26,0,Helms (R-NC),Jesse,S046,Helms,R,NC
27,0,Hutchinson (R-AR),Tim,S256,Hutchinson,R,AR
28,0,Hutchison (R-TX),Kay,S235,Hutchison,R,TX
29,0,Inhofe (R-OK),James,S236,Inhofe,R,OK
30,0,Johnson (D-SD),Tim,S257,Johnson,D,SD
31,0,Kyl (R-AZ),Jon,S243,Kyl,R,AZ
32,0,Lincoln (D-AR),Blanche,S269,Lincoln,D,AR
33,0,Lott (R-MS),Trent,S203,Lott,R,MS
